date,date,Size,price,efficiency,CostPerKW,IncentivePct,State,zip
2016-02-17,2016-02-17,4.48,19088.0,0.196319018,3760.7142857142853,0.1173512154233026,NY,12495
2014-09-23,2014-09-23,5.355,26239.0,0.164516129,4899.906629318393,0.0,MA,2333
2016-08-17,2016-08-17,3.341394679,26812.0,0.166666667,7819.383341515161,0.02552417237058034,CA,91335
2017-11-08,2017-11-08,5.67,29100.0,0.190909091,5225.141927918871,-0.018094664305841925,CA,92126
2016-12-12,2016-12-12,6.16,24640.0,0.16969697,3365.5313272889607,0.15861716817775975,TX,78109
2016-08-26,2016-08-26,9.1,50960.0,0.160493827,5400.0,0.03571428571428571,NY,11735
2012-11-30,2012-11-30,3.44,17678.0,0.15034965,2428.0696863953485,0.5275167031790927,CA,91331
2013-08-11,2013-08-11,8.84,32313.18,0.160493827,2036.557574660634,0.44285369128015256,TX,78251
2015-11-11,2015-11-11,6.6,17812.0,0.166666667,2803.4083878181823,-0.03876573992813834,CA,92019
2010-01-10,2010-01-10,2.8,28000.0,0.136986301,8007.952631571429,0.19920473684285714,PA,19504
2016-05-06,2016-05-06,5.83,29850.0,0.168569809,5215.1324749399655,-0.018566912190954774,CA,91915
2011-02-17,2011-02-17,5.76,34760.0,0.147239264,5918.404084895834,0.019274812169159956,CA,91901
2017-02-22,2017-02-22,11.16,59929.2,0.22085889600000003,5370.0,0.0,MA,1826
2016-06-13,2016-06-13,8.48,42250.0,0.16459627300000002,4982.311320754717,0.0,MA,1982
2016-08-12,2016-08-12,8.32,37440.0,0.159509202,4500.0,0.0,CT,6379
2014-06-10,2014-06-10,10.5,51450.0,0.153374233,4900.0,0.0,CT,6415
2013-08-12,2013-08-12,4.655,23740.5,0.151234568,5057.586058410311,0.00831645913523304,CA,92679
2016-06-15,2016-06-15,7.934042991,33500.0,0.200613497,4017.4020764012266,0.04853012578208955,CA,91402
2016-08-30,2016-08-30,9.92,33635.0,0.19512195100000002,3190.625,0.05898617511520737,NY,11783
2016-09-15,2016-09-15,5.261178751,23329.92,0.17073170699999998,4229.483360296495,0.04620041633661839,CA,91306
2015-06-25,2015-06-25,10.14,24659.0,0.163522013,2536.474552465483,-0.043020883328602134,CA,92040
2016-08-29,2016-08-29,8.502,10650.0,0.200613497,1347.7103004351918,-0.07589042012206573,CA,92126
2016-05-18,2016-05-18,4.34,18314.22,0.157407407,3520.5576036866364,0.16571822332591832,NY,11004
2014-09-10,2014-09-10,8.25,40425.0,0.153374233,4900.0,0.0,MA,1529
2013-12-12,2013-12-12,5.28,36960.0,0.148148148,7000.0,0.0,MA,1862
2017-09-27,2017-09-27,7.26,26532.0,0.19298245600000002,3747.4122501928373,-0.025411312241821197,CA,92081
2012-01-25,2012-01-25,7.287911577999999,50000.0,0.159301966,5491.994921881859,0.19949653245,CA,91342
2014-07-01,2014-07-01,5.15,25725.0,0.15030674800000002,4305.825242718446,0.1379980563654033,NY,10562
2017-11-28,2017-11-28,7.521,26394.0,0.200490497,3602.2405491424015,-0.026462497919981814,CA,92021
2017-08-07,2017-08-07,2.75,11000.0,0.166666667,4092.866795636364,-0.023216698909090908,CA,92128
2014-11-17,2014-11-17,4.08,24072.0,0.158385093,5842.531430588236,0.009740435493519441,CA,92126
2017-06-22,2017-06-22,3.9,19968.0,0.19411445,5212.866795641025,-0.01813804602363782,CA,92069
2007-05-18,2007-05-18,2.3676,16320.28,0.130673738,4929.90192726812,0.2848139981054246,CA,92069
2013-03-21,2013-03-21,10.56,52536.0,0.153846154,4975.0,0.0,CT,6776
2016-05-09,2016-05-09,5.2,18500.0,0.160493827,3557.6923076923076,0.0,MA,2650
2017-11-14,2017-11-14,18.27,82000.0,0.19207317100000001,4581.098870114943,-0.020691175085365856,CA,91910
2016-02-29,2016-02-29,7.98,26792.0,0.173780488,3157.393483709273,0.05957002090176172,NY,11729
2014-05-21,2014-05-21,11.88,46094.0,0.16071428599999998,3037.8787878787875,0.21703475506573525,CT,6076
2016-07-27,2016-07-27,7.848,32176.8,0.200525659,3616.946992864424,0.11781780661843316,CT,6333
2013-11-08,2013-11-08,8.5,36929.07,0.15432098800000002,4240.844309529412,0.02388073593513186,CA,95842
2017-05-30,2017-05-30,7.194,26330.0,0.200525659,3752.861235460106,-0.025373479981010253,CA,92007
2010-12-27,2010-12-27,2.76,14048.0,0.140243902,4097.807704057971,0.1949068007403189,PA,19031
2014-03-24,2014-03-24,9.36,32000.0,0.15981510599999998,2280.128205128205,0.3330625,CT,6776
2014-08-05,2014-08-05,9.25,45325.0,0.153374233,4900.0,0.0,CT,6351
2014-03-25,2014-03-25,6.05,24800.0,0.170807453,3849.090909090909,0.06100806451612903,VT,5701
2016-09-19,2016-09-19,7.98,23820.0,0.173780488,2584.9624060150372,0.1340050377833753,NY,14626
2013-12-23,2013-12-23,4.798400607,29400.0,0.15432098800000002,5846.8938986610965,0.04572315536054422,CA,91326
2017-08-22,2017-08-22,12.48,43555.2,0.154761905,3089.9999999999995,0.11461318051575932,NY,14895
2016-12-08,2016-12-08,4.14,28329.6,0.21156376899999998,6342.898550724638,0.07306845137241613,NY,11361
2015-06-15,2015-06-15,7.54,42224.0,0.160493827,4900.0,0.125,NY,12302
2015-03-02,2015-03-02,6.36,24930.0,0.165625,3856.6645341981134,0.016109649518652226,CA,91935
2017-06-23,2017-06-23,8.96,31360.0,0.17073170699999998,3499.9999999999995,0.0,NY,11501
2012-10-03,2012-10-03,8.64,42984.0,0.147239264,4975.0,0.0,CT,6374
2016-11-10,2016-11-10,8.505,37000.0,0.198412698,4445.4459924632565,-0.02185184232162162,CA,92040
2012-08-21,2012-08-21,9.18,38000.0,0.157407407,2270.920068627451,0.4513935202631579,TX,75182
2016-05-11,2016-05-11,4.24,21709.0,0.160606061,5215.111034127359,-0.018566989944262747,CA,92114
2016-08-03,2016-08-03,11.12,39125.0,0.200613497,3380.4856115107914,0.03920766773162939,NY,11778
2009-06-19,2009-06-19,4.2,33949.0,0.16935483899999998,4083.095238095238,0.49485993696426994,NY,12303
2012-01-25,2012-01-25,2.25,11656.51,0.181451613,2696.452683777778,0.47951672168599346,CA,91913
2015-05-09,2015-05-09,3.78,12830.0,0.164634146,3394.1798941798943,0.0,NM,88011
2017-03-29,2017-03-29,13.25,53000.0,0.16374652,3373.313222716981,0.1566716943207547,TX,78251
2015-06-09,2015-06-09,7.14,37485.0,0.164516129,5250.0,0.0,CT,6062
2014-11-21,2014-11-21,4.442714123,26713.0,0.200613497,5726.395044527604,0.047627142657133234,CA,90744
2015-11-05,2015-11-05,3.433137411,23409.0,0.160377358,6623.147827012509,0.0286566455850314,CA,91304
2015-10-09,2015-10-09,4.41,20000.0,0.198412698,4639.767901337868,-0.023068822245000002,CA,92021
2017-12-11,2017-12-11,8.41,27507.27,0.149484536,3270.781212841855,0.0,CT,6405
2012-08-01,2012-08-01,2.496,16966.0,0.140540541,4938.228153886218,0.2734989112283391,CA,92064
2016-10-21,2016-10-21,4.68,24808.0,0.220762194,5395.91856517094,-0.01793368610931957,CA,92064
2011-08-13,2011-08-13,3.44,27451.0,0.172,7024.512773604652,0.11972882804997996,CA,95818
2011-11-15,2011-11-15,3.29,26254.2,0.144171779,7891.343020303952,0.011109897205018628,CA,92103
2017-03-07,2017-03-07,11.2,34720.0,0.19512195100000002,3192.866795625,-0.029957030846774195,CA,92019
2009-01-07,2009-01-07,3.96,29918.0,0.130434783,5884.607889646465,0.22110277281235377,CA,95662
2010-01-05,2010-01-05,4.51,48843.3,0.130573248,9940.184986252772,0.08216205113086134,CA,92691
2017-12-27,2017-12-27,8.28,34345.0,0.21152667100000003,4240.813655555556,-0.022388617498908137,CA,92672
2017-01-25,2017-01-25,7.7,13696.0,0.166666667,1871.5680943506493,-0.05221045024094626,CA,92056
2015-04-30,2015-04-30,14.28,74970.0,0.164516129,5250.0,0.0,CT,6716
2010-01-15,2010-01-15,4.2,38482.2,0.134615385,4912.428571428571,0.4638508193398507,MA,2740
2017-04-28,2017-04-28,11.77,47100.0,0.200613497,3501.6142735768904,0.12496815286624204,NY,12542
2016-02-25,2016-02-25,5.23,26500.0,0.200613497,4366.730401529637,0.13818867924528302,NY,10308
2016-10-28,2016-10-28,2.011723912,17100.0,0.16964285699999998,8294.996221628646,0.024137880175438595,CA,91342
2015-03-12,2015-03-12,9.52,39412.8,0.16867469899999998,3240.0000000000005,0.21739130434782608,NY,14850
